invoice_no,customer_id,category,quantity,price,invoice_date,shopping_mall
I147334,C306395,Clothing,2,600.16,12/1/2022,Viaport Outlet
I278121,C885344,Toys,4,143.36,7/6/2021,Metrocity
I134452,C112750,Clothing,1,300.08,15-01-2023,Forum Istanbul
I320846,C274870,Clothing,4,1200.32,11/11/2021,Kanyon
I740676,C199864,Clothing,2,600.16,21-09-2022,Istinye Park
I142331,C997380,Cosmetics,4,162.64,30-05-2021,Metrocity
I222983,C132002,Clothing,1,300.08,23-12-2021,Metropol AVM
I164665,C255058,Technology,2,2100,30-04-2022,Kanyon
I133387,C271799,Toys,4,143.36,7/6/2021,Forum Istanbul
I276763,C765620,Toys,5,179.2,21-02-2022,Kanyon
I273890,C891545,Clothing,3,900.24,26-08-2021,Emaar Square Mall
I774221,C519513,Food & Beverage,5,26.15,15-12-2021,Metrocity
I202171,C125624,Clothing,1,300.08,20-02-2021,Mall of Istanbul
I219780,C658980,Clothing,2,600.16,8/10/2021,Kanyon
I160221,C319231,Clothing,3,900.24,1/8/2022,Mall of Istanbul
I106691,C150594,Clothing,4,1200.32,9/9/2021,Kanyon
I129886,C846730,Food & Beverage,5,26.15,25-10-2021,Metrocity
I745394,C249877,Food & Beverage,1,5.23,14-12-2021,Metropol AVM
I157056,C200826,Clothing,5,1500.4,20-06-2021,Kanyon
I304531,C263874,Clothing,1,300.08,7/4/2021,Metropol AVM
I762439,C663463,Books,4,60.6,5/12/2021,Metrocity
I300972,C134370,Cosmetics,1,40.66,25-05-2021,Zorlu Center
I151588,C310642,Books,3,45.45,12/4/2022,Metrocity
I657069,C651699,Clothing,4,1200.32,16-12-2021,Mall of Istanbul
I122655,C989693,Technology,2,2100,21-02-2021,Metropol AVM
I236914,C123581,Clothing,3,900.24,26-10-2021,Mall of Istanbul
I247471,C192446,Toys,1,35.84,18-12-2022,Mall of Istanbul
I362306,C143343,Clothing,1,300.08,19-09-2022,Metrocity
I215279,C223343,Clothing,2,600.16,1/2/2023,Kanyon
I216061,C309082,Food & Beverage,3,15.69,5/10/2022,Mall of Istanbul
I246375,C236365,Cosmetics,2,81.32,28-11-2021,Kanyon
I103596,C178734,Shoes,5,3000.85,3/8/2021,Kanyon
I259878,C223010,Clothing,4,1200.32,12/10/2022,Metropol AVM
I206422,C289933,Food & Beverage,2,10.46,28-09-2022,Kanyon
I201704,C340116,Food & Beverage,3,15.69,12/7/2021,Metrocity
I168037,C816586,Toys,4,143.36,3/7/2021,Mall of Istanbul
I307534,C434171,Cosmetics,4,162.64,26-03-2022,Viaport Outlet
I259196,C215384,Toys,4,143.36,17-05-2022,Cevahir AVM
I141241,C143442,Souvenir,5,58.65,11/4/2022,Kanyon
I289973,C102926,Food & Beverage,5,26.15,22-10-2021,Kanyon
I147203,C340063,Cosmetics,5,203.3,20-12-2021,Istinye Park
I323788,C131786,Clothing,1,300.08,17-03-2022,Metropol AVM
I285454,C194380,Souvenir,5,58.65,23-06-2022,Metropol AVM
I288152,C269623,Technology,3,3150,19-06-2021,Mall of Istanbul
I134126,C847171,Clothing,1,300.08,30-08-2022,Istinye Park
I311052,C556552,Clothing,4,1200.32,20-11-2021,Cevahir AVM
I176469,C876528,Food & Beverage,2,10.46,31-07-2021,Viaport Outlet
I167993,C303493,Toys,2,71.68,20-02-2022,Kanyon
I222086,C978718,Clothing,5,1500.4,9/2/2023,Emaar Square Mall
I164597,C111766,Clothing,1,300.08,24-03-2021,Mall of Istanbul
I184307,C175946,Food & Beverage,1,5.23,25-08-2022,Kanyon
I289905,C160005,Cosmetics,4,162.64,21-10-2021,Kanyon
I416544,C599109,Food & Beverage,2,10.46,28-05-2022,Metrocity
I601026,C693789,Souvenir,5,58.65,5/3/2022,Zorlu Center
I257890,C259342,Shoes,1,600.17,5/10/2021,Kanyon
I260028,C208108,Clothing,4,1200.32,16-04-2021,Metropol AVM
I170160,C244213,Toys,2,71.68,26-02-2023,Metrocity
I624164,C102685,Clothing,1,300.08,20-03-2021,Kanyon
I143353,C244291,Souvenir,5,58.65,15-05-2022,Metrocity
I278401,C162371,Toys,1,35.84,31-01-2023,Mall of Istanbul
I402966,C375422,Cosmetics,4,162.64,2/10/2021,Viaport Outlet
I244241,C911768,Clothing,5,1500.4,3/8/2022,Viaport Outlet
I179048,C270129,Technology,3,3150,28-03-2021,Cevahir AVM
I165202,C617189,Cosmetics,4,162.64,21-11-2022,Mall of Istanbul
I328321,C271029,Souvenir,2,23.46,12/2/2021,Metropol AVM
I417106,C292356,Clothing,3,900.24,3/4/2021,Cevahir AVM
I248153,C329633,Food & Beverage,1,5.23,3/7/2022,Metropol AVM
I112270,C244780,Food & Beverage,4,20.92,14-02-2021,Mall of Istanbul
I318831,C139568,Cosmetics,4,162.64,15-07-2022,Viaport Outlet
I258322,C220281,Clothing,4,1200.32,12/7/2021,Viaport Outlet
I334246,C311034,Cosmetics,3,121.98,19-05-2022,Mall of Istanbul
I198233,C584141,Cosmetics,4,162.64,13-02-2023,Metropol AVM
I310819,C221934,Cosmetics,5,203.3,27-11-2022,Forum Istanbul
I409288,C513561,Food & Beverage,3,15.69,2/3/2021,Viaport Outlet
I131054,C257990,Toys,4,143.36,16-10-2021,Kanyon
I149521,C168348,Clothing,2,600.16,4/11/2021,Kanyon
I156233,C161285,Clothing,1,300.08,11/1/2023,Mall of Istanbul
I295784,C166191,Cosmetics,3,121.98,8/6/2022,Forum Istanbul
I255381,C172966,Clothing,4,1200.32,24-05-2021,Metrocity
I337719,C320928,Cosmetics,5,203.3,18-01-2021,Istinye Park
I220863,C131497,Books,4,60.6,22-07-2021,Mall of Istanbul
I530401,C526660,Technology,2,2100,25-09-2022,Zorlu Center
I219555,C266961,Clothing,3,900.24,10/9/2021,Metrocity
I316629,C204741,Souvenir,3,35.19,16-01-2022,Cevahir AVM
I795251,C181619,Cosmetics,5,203.3,13-11-2022,Kanyon
I151099,C250395,Souvenir,2,23.46,14-03-2021,Mall of Istanbul
I286193,C322994,Cosmetics,3,121.98,23-07-2022,Istinye Park
I399563,C250673,Toys,1,35.84,24-06-2021,Metropol AVM
I229355,C192978,Shoes,5,3000.85,30-01-2021,Kanyon
I147727,C163033,Books,1,15.15,17-04-2022,Kanyon
I504141,C558480,Cosmetics,1,40.66,23-02-2023,Kanyon
I246151,C287409,Books,3,45.45,5/7/2021,Metropol AVM
I164675,C993675,Books,5,75.75,31-08-2021,Kanyon
I606511,C307535,Souvenir,2,23.46,9/9/2022,Viaport Outlet
I342816,C238961,Food & Beverage,2,10.46,4/11/2021,Mall of Istanbul
I151764,C671866,Clothing,5,1500.4,30-06-2022,Kanyon
I226172,C171154,Shoes,1,600.17,24-07-2021,Kanyon
I737630,C848969,Clothing,5,1500.4,15-04-2022,Metropol AVM
I891311,C240171,Food & Beverage,2,10.46,25-09-2021,Metropol AVM
I127733,C665777,Books,5,75.75,24-08-2021,Kanyon
I202398,C256730,Shoes,5,3000.85,26-01-2021,Zorlu Center
I160585,C298229,Cosmetics,2,81.32,5/2/2022,Metropol AVM
I771414,C183404,Food & Beverage,3,15.69,9/12/2022,Forum Istanbul
I139520,C316398,Clothing,5,1500.4,14-02-2021,Mall of Istanbul
I291540,C557245,Food & Beverage,1,5.23,17-07-2022,Kanyon
I798213,C662958,Shoes,3,1800.51,3/1/2021,Metropol AVM
I232338,C545065,Clothing,4,1200.32,22-09-2022,Metropol AVM
I267713,C284679,Cosmetics,4,162.64,27-06-2021,Kanyon
I525798,C581947,Cosmetics,4,162.64,3/2/2023,Mall of Istanbul
I353272,C199311,Clothing,1,300.08,29-07-2021,Istinye Park
I165687,C206501,Clothing,3,900.24,8/12/2022,Metropol AVM
I169015,C726021,Clothing,5,1500.4,11/8/2022,Mall of Istanbul
I111305,C448846,Food & Beverage,3,15.69,13-09-2021,Metropol AVM
I187171,C168663,Toys,4,143.36,27-05-2022,Istinye Park
I148276,C616106,Clothing,4,1200.32,7/12/2022,Zorlu Center
I783231,C771066,Clothing,5,1500.4,5/1/2022,Cevahir AVM
I313426,C101196,Cosmetics,4,162.64,5/4/2022,Kanyon
I112291,C898405,Food & Beverage,1,5.23,10/1/2022,Cevahir AVM
I402983,C372643,Technology,1,1050,30-01-2022,Kanyon
I155076,C195626,Toys,5,179.2,21-12-2022,Kanyon
I204056,C622748,Clothing,4,1200.32,24-02-2021,Metropol AVM
I218385,C290280,Toys,1,35.84,19-07-2022,Metrocity
I198698,C281268,Clothing,1,300.08,15-01-2023,Metropol AVM
I428118,C826744,Shoes,2,1200.34,12/1/2023,Kanyon
I204147,C252021,Shoes,3,1800.51,5/11/2022,Kanyon
I361028,C647656,Shoes,2,1200.34,23-07-2021,Metrocity
I915945,C250065,Clothing,4,1200.32,30-06-2022,Metropol AVM
I165461,C230766,Clothing,1,300.08,1/11/2022,Emaar Square Mall
I762381,C243515,Shoes,1,600.17,27-10-2022,Kanyon
I818298,C204632,Clothing,5,1500.4,21-08-2022,Kanyon
I261290,C252598,Clothing,3,900.24,13-03-2021,Cevahir AVM
I215578,C866033,Cosmetics,2,81.32,4/8/2022,Kanyon
I136666,C288416,Food & Beverage,2,10.46,1/4/2021,Mall of Istanbul
I120948,C340089,Shoes,4,2400.68,8/8/2021,Mall of Istanbul
I173679,C555040,Technology,3,3150,28-06-2021,Viaport Outlet
I638275,C809281,Clothing,5,1500.4,25-01-2021,Emaar Square Mall
I551237,C375325,Clothing,4,1200.32,22-11-2021,Metropol AVM
I239285,C155335,Cosmetics,3,121.98,13-11-2022,Viaport Outlet
I723062,C225051,Clothing,4,1200.32,12/8/2022,Kanyon
I353329,C635016,Toys,2,71.68,18-09-2022,Metrocity
I321920,C165705,Clothing,4,1200.32,8/6/2021,Mall of Istanbul
I176115,C709571,Cosmetics,4,162.64,30-08-2021,Viaport Outlet
I251743,C851508,Toys,3,107.52,19-06-2022,Kanyon
I964173,C184126,Clothing,3,900.24,15-12-2022,Emaar Square Mall
I334389,C233642,Cosmetics,2,81.32,29-12-2021,Mall of Istanbul
I251855,C258410,Cosmetics,3,121.98,19-06-2022,Cevahir AVM
I985808,C270667,Books,5,75.75,16-06-2021,Emaar Square Mall
I224565,C321527,Shoes,1,600.17,7/2/2021,Emaar Square Mall
I239703,C109489,Food & Beverage,3,15.69,17-01-2023,Kanyon
I156413,C103824,Cosmetics,5,203.3,20-01-2022,Metrocity
I158683,C126571,Souvenir,2,23.46,31-07-2022,Metrocity
I983860,C169676,Shoes,1,600.17,30-09-2021,Metropol AVM
I119809,C321889,Food & Beverage,1,5.23,6/4/2022,Zorlu Center
I319942,C212128,Cosmetics,5,203.3,14-11-2022,Mall of Istanbul
I133278,C301271,Clothing,3,900.24,24-02-2021,Metrocity
I252084,C221995,Souvenir,4,46.92,25-05-2021,Metrocity
I182889,C318802,Clothing,2,600.16,22-03-2021,Metrocity
I106271,C263812,Clothing,1,300.08,22-12-2022,Mall of Istanbul
I112481,C321609,Food & Beverage,5,26.15,7/7/2021,Cevahir AVM
I240751,C666013,Food & Beverage,1,5.23,18-09-2021,Kanyon
I282789,C172185,Cosmetics,2,81.32,18-02-2022,Istinye Park
I676291,C150463,Food & Beverage,2,10.46,13-06-2021,Metropol AVM
I827069,C274529,Toys,5,179.2,30-05-2021,Mall of Istanbul
I242823,C242659,Clothing,4,1200.32,26-03-2021,Metropol AVM
I208631,C194451,Technology,2,2100,27-07-2022,Kanyon
I139308,C252600,Souvenir,2,23.46,6/4/2022,Emaar Square Mall
I177201,C309645,Clothing,5,1500.4,4/2/2022,Forum Istanbul
I263818,C336232,Souvenir,4,46.92,26-06-2022,Zorlu Center
I174966,C325906,Food & Beverage,5,26.15,25-07-2022,Mall of Istanbul
I186896,C138755,Toys,1,35.84,19-09-2021,Zorlu Center
I207465,C296745,Clothing,2,600.16,10/10/2022,Istinye Park
I191148,C221838,Technology,2,2100,29-03-2022,Forum Istanbul
I159487,C104985,Clothing,1,300.08,9/7/2021,Emaar Square Mall
I215141,C826514,Souvenir,1,11.73,25-01-2022,Kanyon
I235828,C267333,Books,5,75.75,14-12-2021,Metrocity
I281274,C130479,Clothing,1,300.08,4/9/2022,Kanyon
I135898,C310108,Toys,2,71.68,14-08-2022,Metropol AVM
I943072,C358486,Cosmetics,2,81.32,3/2/2022,Metrocity
I142738,C208738,Clothing,4,1200.32,3/1/2021,Kanyon
I304665,C111056,Food & Beverage,5,26.15,5/12/2021,Metropol AVM
I133240,C999586,Toys,3,107.52,14-06-2022,Zorlu Center
I215906,C296862,Clothing,4,1200.32,13-08-2021,Mall of Istanbul
I247747,C101550,Shoes,2,1200.34,11/1/2022,Istinye Park
I227154,C278142,Cosmetics,3,121.98,22-12-2021,Kanyon
I133197,C330779,Cosmetics,2,81.32,4/2/2021,Forum Istanbul
I542618,C282968,Cosmetics,3,121.98,22-02-2022,Emaar Square Mall
I522612,C852668,Toys,3,107.52,14-09-2021,Kanyon
I336817,C274936,Clothing,1,300.08,3/8/2021,Cevahir AVM
I216982,C269751,Souvenir,4,46.92,2/1/2023,Metrocity
I317443,C136051,Toys,1,35.84,23-11-2022,Mall of Istanbul
I115679,C266462,Clothing,1,300.08,10/1/2023,Kanyon
I227707,C329163,Shoes,4,2400.68,10/1/2022,Viaport Outlet
I238456,C305398,Food & Beverage,1,5.23,6/8/2022,Kanyon
I940840,C267961,Cosmetics,2,81.32,19-02-2023,Istinye Park
I298805,C101248,Food & Beverage,3,15.69,29-06-2021,Kanyon
I169894,C165812,Clothing,2,600.16,1/7/2021,Istinye Park
I183571,C339518,Food & Beverage,1,5.23,7/2/2022,Metrocity
I921232,C235057,Toys,2,71.68,10/10/2021,Cevahir AVM
I130799,C103944,Clothing,3,900.24,30-06-2021,Metrocity
I199384,C260889,Books,4,60.6,24-03-2022,Kanyon
I300557,C207753,Cosmetics,3,121.98,17-09-2022,Istinye Park
I162186,C204154,Cosmetics,2,81.32,31-07-2021,Istinye Park
I299125,C290344,Souvenir,4,46.92,21-11-2022,Kanyon
I720017,C730395,Food & Beverage,2,10.46,4/9/2022,Kanyon
I293086,C312155,Cosmetics,3,121.98,18-02-2021,Kanyon
I995407,C259743,Souvenir,3,35.19,21-03-2021,Metropol AVM
I306845,C605200,Food & Beverage,4,20.92,2/9/2022,Mall of Istanbul
I274190,C317850,Toys,3,107.52,16-06-2021,Metropol AVM
I305432,C986860,Toys,3,107.52,26-01-2023,Mall of Istanbul
I224122,C236428,Clothing,5,1500.4,1/7/2022,Mall of Istanbul
I119142,C278588,Cosmetics,5,203.3,25-01-2023,Cevahir AVM
I117526,C154184,Cosmetics,5,203.3,23-09-2022,Emaar Square Mall
I195735,C287459,Clothing,1,300.08,8/9/2021,Kanyon
I243930,C617884,Technology,3,3150,31-10-2022,Istinye Park
I320007,C294024,Clothing,5,1500.4,18-10-2021,Metrocity
I339004,C790567,Clothing,4,1200.32,15-07-2022,Mall of Istanbul
I139437,C799447,Souvenir,5,58.65,31-05-2021,Mall of Istanbul
I325491,C144628,Shoes,2,1200.34,22-12-2021,Kanyon
I332582,C260810,Souvenir,5,58.65,28-10-2022,Metropol AVM
I976566,C670524,Cosmetics,1,40.66,13-06-2021,Forum Istanbul
I420592,C334281,Food & Beverage,4,20.92,25-09-2022,Kanyon
I312499,C314173,Books,1,15.15,18-08-2021,Mall of Istanbul
I304591,C122712,Food & Beverage,2,10.46,16-09-2021,Kanyon
I122118,C276111,Cosmetics,5,203.3,15-11-2022,Metrocity
I297539,C277924,Food & Beverage,3,15.69,7/8/2021,Mall of Istanbul
I339496,C286466,Clothing,1,300.08,25-05-2021,Metropol AVM
I160687,C327001,Clothing,2,600.16,12/7/2022,Istinye Park
I153842,C509924,Food & Beverage,3,15.69,14-09-2022,Forum Istanbul
I615452,C453635,Shoes,1,600.17,6/3/2022,Metrocity
I908600,C259539,Cosmetics,4,162.64,23-02-2023,Forum Istanbul
I708279,C729392,Cosmetics,3,121.98,25-06-2021,Emaar Square Mall
I328691,C280085,Clothing,2,600.16,31-07-2022,Metrocity
I423782,C767634,Cosmetics,2,81.32,8/4/2021,Mall of Istanbul
I123315,C230018,Clothing,2,600.16,1/4/2021,Zorlu Center
I182578,C238063,Shoes,4,2400.68,13-02-2022,Kanyon
I403818,C308584,Books,5,75.75,15-06-2022,Viaport Outlet
I508712,C216619,Toys,3,107.52,19-07-2022,Mall of Istanbul
I959992,C241523,Food & Beverage,3,15.69,1/7/2022,Metrocity
I279688,C209761,Clothing,1,300.08,19-06-2021,Cevahir AVM
I300847,C329153,Toys,5,179.2,11/1/2022,Istinye Park
I170966,C126702,Food & Beverage,5,26.15,5/12/2022,Istinye Park
I230221,C287787,Clothing,1,300.08,21-04-2021,Metropol AVM
I317354,C142943,Clothing,1,300.08,10/11/2021,Metropol AVM
I155404,C100484,Toys,4,143.36,19-09-2022,Metrocity
I151181,C260213,Clothing,2,600.16,18-01-2021,Emaar Square Mall
I144046,C210589,Shoes,1,600.17,21-04-2022,Kanyon
I959386,C885556,Shoes,1,600.17,25-11-2022,Mall of Istanbul
I737965,C944366,Clothing,5,1500.4,9/11/2022,Kanyon
I194017,C462011,Technology,5,5250,3/1/2022,Kanyon
I252777,C262366,Clothing,2,600.16,19-02-2022,Zorlu Center
I254142,C212400,Shoes,3,1800.51,15-12-2022,Emaar Square Mall
I120850,C204307,Clothing,2,600.16,8/11/2021,Metrocity
I220285,C162871,Food & Beverage,4,20.92,1/5/2022,Kanyon
I180980,C119825,Clothing,2,600.16,14-04-2021,Forum Istanbul
I301451,C260171,Cosmetics,5,203.3,28-06-2021,Kanyon
I125700,C244973,Shoes,5,3000.85,10/6/2022,Forum Istanbul
I533062,C208765,Clothing,3,900.24,12/5/2022,Mall of Istanbul
I998874,C321053,Clothing,5,1500.4,27-12-2022,Mall of Istanbul
I325619,C183356,Food & Beverage,1,5.23,16-08-2021,Kanyon
I200646,C155763,Food & Beverage,2,10.46,5/3/2021,Kanyon
I337094,C567509,Technology,1,1050,9/2/2023,Zorlu Center
I436935,C486241,Cosmetics,4,162.64,26-02-2023,Istinye Park
I585560,C306892,Shoes,2,1200.34,17-02-2023,Mall of Istanbul
I191967,C266819,Cosmetics,5,203.3,8/8/2022,Kanyon
I304567,C317897,Souvenir,2,23.46,8/3/2023,Forum Istanbul
I232809,C545424,Shoes,5,3000.85,2/10/2021,Metrocity
I157441,C224223,Food & Beverage,4,20.92,22-12-2021,Mall of Istanbul
I591015,C286181,Clothing,1,300.08,12/9/2021,Metrocity
I219334,C144371,Shoes,4,2400.68,23-03-2022,Kanyon
I162719,C402433,Clothing,5,1500.4,11/12/2021,Emaar Square Mall
I237375,C297425,Books,1,15.15,29-12-2022,Istinye Park
I289611,C222906,Clothing,3,900.24,8/3/2023,Cevahir AVM
I217650,C236397,Food & Beverage,3,15.69,10/2/2021,Forum Istanbul
I214129,C309079,Clothing,1,300.08,10/5/2021,Metrocity
I300799,C116633,Food & Beverage,3,15.69,6/3/2022,Metropol AVM
I163771,C259606,Toys,4,143.36,29-03-2021,Mall of Istanbul
I252528,C333065,Technology,5,5250,4/10/2022,Cevahir AVM
I147387,C211494,Clothing,5,1500.4,4/11/2021,Mall of Istanbul
I186255,C302831,Clothing,1,300.08,8/11/2022,Kanyon
I308341,C282397,Clothing,4,1200.32,17-05-2021,Istinye Park
I177664,C233697,Cosmetics,3,121.98,16-06-2022,Kanyon
I278519,C129976,Technology,3,3150,24-09-2022,Cevahir AVM
I160636,C812053,Cosmetics,4,162.64,4/4/2022,Metropol AVM
I306136,C324783,Food & Beverage,1,5.23,18-10-2022,Metrocity
I240224,C281502,Food & Beverage,1,5.23,16-10-2021,Mall of Istanbul
I227030,C433234,Clothing,4,1200.32,17-05-2021,Istinye Park
I258204,C167183,Clothing,1,300.08,3/2/2023,Emaar Square Mall
I231070,C311195,Clothing,5,1500.4,15-11-2022,Forum Istanbul
